name	pop	cohort	sex	sample	group	famid
HG01433	AMR	HPRC	M	HG01433	control	HG01433
HG01496	AMR	HPRC	F	HG01496	control	HG01496
HG01530	EUR	HPRC	M	HG01530	control	HG01530
HG01784	EUR	HPRC	F	HG01784	control	HG01784
HG01786	EUR	HPRC	F	HG01786	control	HG01786
HG01884	AFR	HPRC	F	HG01884	control	HG01884
HG01891	AFR	HPRC	F	HG01891	control	HG01891
HG01928	AMR	HPRC	M	HG01928	control	HG01928
HG01934	AMR	HPRC	M	HG01934	control	HG01934
HG01940	AMR	HPRC	F	HG01940	control	HG01940
HG01943	AMR	HPRC	M	HG01943	control	HG01943
HG01952	AMR	HPRC	M	HG01952	control	HG01952
HG01960	AFR	HPRC	F	HG01960	control	HG01960
HG01969	AMR	HPRC	F	HG01969	control	HG01969
HG01975	AMR	HPRC	F	HG01975	control	HG01975
HG01978	AMR	HPRC	F	HG01978	control	HG01978
HG01981	AMR	HPRC	F	HG01981	control	HG01981
HG01993	AMR	HPRC	F	HG01993	control	HG01993
HG02004	AMR	HPRC	F	HG02004	control	HG02004
HG02015	EAS	HPRC	M	HG02015	control	HG02015
HG02027	EAS	HPRC	M	HG02027	control	HG02027
HG02040	EAS	HPRC	M	HG02040	control	HG02040
HG02055	AFR	HPRC	M	HG02055	control	HG02055
HG02056	EAS	HPRC	M	HG02056	control	HG02056
HG02071	EAS	HPRC	M	HG02071	control	HG02071
HG02074	EAS	HPRC	M	HG02074	control	HG02074
HG02080	EAS	HPRC	F	HG02080	control	HG02080
HG02083	EAS	HPRC	M	HG02083	control	HG02083
HG02109	AFR	HPRC	F	HG02109	control	HG02109
HG02129	EAS	HPRC	M	HG02129	control	HG02129
HG02132	EAS	HPRC	M	HG02132	control	HG02132
HG02135	EAS	HPRC	M	HG02135	control	HG02135
HG02145	AFR	HPRC	M	HG02145	control	HG02145
HG02148	AMR	HPRC	F	HG02148	control	HG02148
HG02155	EAS	HPRC	F	HG02155	control	HG02155
HG02165	EAS	HPRC	F	HG02165	control	HG02165
HG02178	EAS	HPRC	F	HG02178	control	HG02178
HG02257	AFR	HPRC	F	HG02257	control	HG02257
HG02258	AFR	HPRC	M	HG02258	control	HG02258
HG02273	AMR	HPRC	F	HG02273	control	HG02273
HG02280	AFR	HPRC	F	HG02280	control	HG02280
HG02293	AMR	HPRC	F	HG02293	control	HG02293
HG02300	AMR	HPRC	M	HG02300	control	HG02300
HG02391	EAS	HPRC	M	HG02391	control	HG02391
HG02392	EAS	HPRC	M	HG02392	control	HG02392
HG02451	AFR	HPRC	F	HG02451	control	HG02451
HG02486	AFR	HPRC	M	HG02486	control	HG02486
HG02514	EAS	HPRC	M	HG02514	control	HG02514
HG02523	EAS	HPRC	F	HG02523	control	HG02523
HG02559	AFR	HPRC	F	HG02559	control	HG02559
HG02572	AFR	HPRC	M	HG02572	control	HG02572
HG02583	AFR	HPRC	F	HG02583	control	HG02583
HG02602	SAS	HPRC	M	HG02602	control	HG02602
HG02615	AFR	HPRC	F	HG02615	control	HG02615
HG02622	AFR	HPRC	F	HG02622	control	HG02622
HG02630	AFR	HPRC	F	HG02630	control	HG02630
HG02647	AFR	HPRC	M	HG02647	control	HG02647
HG02668	AFR	HPRC	M	HG02668	control	HG02668
HG02698	SAS	HPRC	M	HG02698	control	HG02698
HG02717	AFR	HPRC	M	HG02717	control	HG02717
HG02723	AFR	HPRC	F	HG02723	control	HG02723
HG02735	SAS	HPRC	M	HG02735	control	HG02735
HG02738	SAS	HPRC	M	HG02738	control	HG02738
HG02809	AFR	HPRC	F	HG02809	control	HG02809
HG02818	AFR	HPRC	F	HG02818	control	HG02818
HG02841	AFR	HPRC	F	HG02841	control	HG02841
HG02886	AFR	HPRC	F	HG02886	control	HG02886
HG02922	AFR	HPRC	F	HG02922	control	HG02922
HG02965	AFR	HPRC	M	HG02965	control	HG02965
HG02976	AFR	HPRC	F	HG02976	control	HG02976
HG02984	AFR	HPRC	M	HG02984	control	HG02984
HG03017	SAS	HPRC	M	HG03017	control	HG03017
HG03041	AFR	HPRC	F	HG03041	control	HG03041
HG03050	AFR	HPRC	M	HG03050	control	HG03050
HG03098	AFR	HPRC	M	HG03098	control	HG03098
HG03130	AFR	HPRC	M	HG03130	control	HG03130
HG03139	AFR	HPRC	M	HG03139	control	HG03139
HG03195	AFR	HPRC	F	HG03195	control	HG03195
HG03209	AFR	HPRC	M	HG03209	control	HG03209
HG03225	AFR	HPRC	M	HG03225	control	HG03225
HG03239	SAS	HPRC	F	HG03239	control	HG03239
HG03270	AFR	HPRC	F	HG03270	control	HG03270
HG03369	AFR	HPRC	F	HG03369	control	HG03369
HG03453	AFR	HPRC	F	HG03453	control	HG03453
HG03470	AFR	HPRC	F	HG03470	control	HG03470
HG03471	AFR	HPRC	M	HG03471	control	HG03471
HG03486	AFR	HPRC	F	HG03486	control	HG03486
HG03516	AFR	HPRC	F	HG03516	control	HG03516
HG03521	AFR	HPRC	M	HG03521	control	HG03521
HG03540	AFR	HPRC	F	HG03540	control	HG03540
HG03579	AFR	HPRC	M	HG03579	control	HG03579
HG03583	AFR	HPRC	F	HG03583	control	HG03583
HG03654	SAS	HPRC	M	HG03654	control	HG03654
HG03669	SAS	HPRC	F	HG03669	control	HG03669
HG03688	SAS	HPRC	M	HG03688	control	HG03688
HG03704	SAS	HPRC	F	HG03704	control	HG03704
HG03710	SAS	HPRC	M	HG03710	control	HG03710
GHG03742	SAS	HPRC	M	HG03742	control	HG03742
HG03784	SAS	HPRC	F	HG03784	control	HG03784
HG03804	SAS	HPRC	F	HG03804	control	HG03804
HG03816	SAS	HPRC	F	HG03816	control	HG03816
HG03831	SAS	HPRC	F	HG03831	control	HG03831
HG03834	SAS	HPRC	F	HG03834	control	HG03834
HG03874	SAS	HPRC	F	HG03874	control	HG03874
HG03927	SAS	HPRC	F	HG03927	control	HG03927
HG03942	SAS	HPRC	M	HG03942	control	HG03942
HG04115	SAS	HPRC	M	HG04115	control	HG04115
HG04157	SAS	HPRC	M	HG04157	control	HG04157
HG04160	SAS	HPRC	M	HG04160	control	HG04160
HG04184	SAS	HPRC	F	HG04184	control	HG04184
HG04187	SAS	HPRC	M	HG04187	control	HG04187
HG04199	SAS	HPRC	M	HG04199	control	HG04199
HG04204	SAS	HPRC	M	HG04204	control	HG04204
HG04228	SAS	HPRC	M	HG04228	control	HG04228
NA18505	AFR	HPRC	F	NA18505	control	NA18505
NA18508	AFR	HPRC	F	NA18508	control	NA18508
NA18522	AFR	HPRC	M	NA18522	control	NA18522
NA18565	EAS	HPRC	F	NA18565	control	NA18565
NA18570	EAS	HPRC	F	NA18570	control	NA18570
NA18608	EAS	HPRC	M	NA18608	control	NA18608
NA18620	EAS	HPRC	M	NA18620	control	NA18620
NA18747	EAS	HPRC	M	NA18747	control	NA18747
NA18879	AFR	HPRC	M	NA18879	control	NA18879
NA18906	AFR	HPRC	F	NA18906	control	NA18906
NA18940	EAS	HPRC	M	NA18940	control	NA18940
NA18943	EAS	HPRC	M	NA18943	control	NA18943
NA18944	EAS	HPRC	M	NA18944	control	NA18944
NA18945	EAS	HPRC	M	NA18945	control	NA18945
NA18948	EAS	HPRC	M	NA18948	control	NA18948
NA18952	EAS	HPRC	M	NA18952	control	NA18952
NA18959	EAS	HPRC	M	NA18959	control	NA18959
NA18960	EAS	HPRC	M	NA18960	control	NA18960
NA18967	EAS	HPRC	M	NA18967	control	NA18967
NA18970	EAS	HPRC	M	NA18970	control	NA18970
NA18971	EAS	HPRC	M	NA18971	control	NA18971
NA18974	EAS	HPRC	M	NA18974	control	NA18974
NA18976	EAS	HPRC	F	NA18976	control	NA18976
NA18982	EAS	HPRC	M	NA18982	control	NA18982
NA18983	EAS	HPRC	M	NA18983	control	NA18983
NA19036	AFR	HPRC	F	NA19036	control	NA19036
NA19043	AFR	HPRC	M	NA19043	control	NA19043
NA19087	EAS	HPRC	F	NA19087	control	NA19087
NA19159	AFR	HPRC	F	NA19159	control	NA19159
NA19185	AFR	HPRC	F	NA19185	control	NA19185
NA19240	AFR	HPRC	F	NA19240	control	NA19240
NA19338	AFR	HPRC	F	NA19338	control	NA19338
NA19391	AFR	HPRC	F	NA19391	control	NA19391
NA19443	AFR	HPRC	M	NA19443	control	NA19443
NA19468	AFR	HPRC	F	NA19468	control	NA19468
NA19682	AMR	HPRC	M	NA19682	control	NA19682
NA19700	AFR	HPRC	M	NA19700	control	NA19700
NA19776	AMR	HPRC	F	NA19776	control	NA19776
NA19835	AFR	HPRC	F	NA19835	control	NA19835
NA19909	AFR	HPRC	F	NA19909	control	NA19909
NA20129	AFR	HPRC	F	NA20129	control	NA20129
NA20282	AFR	HPRC	F	NA20282	control	NA20282
NA20346	AFR	HPRC	M	NA20346	control	NA20346
NA20752	EUR	HPRC	M	NA20752	control	NA20752
NA20799	EUR	HPRC	F	NA20799	control	NA20799
NA20805	EUR	HPRC	M	NA20805	control	NA20805
NA20809	EUR	HPRC	M	NA20809	control	NA20809
NA20850	SAS	HPRC	M	NA20850	control	NA20850
NA20870	SAS	HPRC	M	NA20870	control	NA20870
NA20905	SAS	HPRC	M	NA20905	control	NA20905
NA21093	SAS	HPRC	M	NA21093	control	NA21093
NA21102	SAS	HPRC	F	NA21102	control	NA21102
NA21106	SAS	HPRC	F	NA21106	control	NA21106
NA21110	SAS	HPRC	F	NA21110	control	NA21110
NA21144	SAS	HPRC	F	NA21144	control	NA21144
NA21309	AFR	HPRC	F	NA21309	control	NA21309
NA19238	AFR	HGSVC	F	NA19238	control	NA19238
NA19239	AFR	HGSVC	M	NA19239	control	NA19239
HG02011	AFR	HGSVC	M	HG02011	control	HG02011
NA19983	AFR	HGSVC	F	NA19983	control	NA19983
HG03371	AFR	HGSVC	M	HG03371	control	HG03371
HG02587	AFR	HGSVC	F	HG02587	control	HG02587
HG03065	AFR	HGSVC	M	HG03065	control	HG03065
NA19434	AFR	HGSVC	F	NA19434	control	NA19434
NA19836	AFR	HGSVC	F	NA19836	control	NA19836
GM20355	AFR	HGSVC	F	GM20355	control	GM20355
GM19129	AFR	HGSVC	F	GM19129	control	GM19129
HG02769	AFR	HGSVC	F	HG02769	control	HG02769
HG03452	AFR	HGSVC	F	HG03452	control	HG03452
HG03520	AFR	HGSVC	F	HG03520	control	HG03520
HG02282	AFR	HGSVC	F	HG02282	control	HG02282
HG02554	AFR	HGSVC	M	HG02554	control	HG02554
HG02953	AFR	HGSVC	M	HG02953	control	HG02953
GM21487	AFR	HGSVC	F	GM21487	control	GM21487
NA19331	AFR	HGSVC	M	NA19331	control	NA19331
HG02666	AFR	HGSVC	M	HG02666	control	HG02666
NA19317	AFR	HGSVC	M	NA19317	control	NA19317
NA19347	AFR	HGSVC	M	NA19347	control	NA19347
HG03248	AFR	HGSVC	M	HG03248	control	HG03248
NA19384	AFR	HGSVC	M	NA19384	control	NA19384
HG01890	AFR	HGSVC	M	HG01890	control	HG01890
NA19705	AFR	HGSVC	M	NA19705	control	NA19705
HG03456	AFR	HGSVC	M	HG03456	control	HG03456
HG00731	AMR	HGSVC	M	HG00731	control	HG00731
HG00732	AMR	HGSVC	F	HG00732	control	HG00732
HG01573	AMR	HGSVC	F	HG01573	control	HG01573
HG01114	AMR	HGSVC	F	HG01114	control	HG01114
NA19650	AMR	HGSVC	M	NA19650	control	NA19650
HG01352	AMR	HGSVC	F	HG01352	control	HG01352
HG02106	AMR	HGSVC	F	HG02106	control	HG02106
HG01457	AMR	HGSVC	M	HG01457	control	HG01457
HG00171	EUR	HGSVC	F	HG00171	control	HG00171
NA12329	EUR	HGSVC	F	NA12329	control	NA12329
HG01505	EUR	HGSVC	M	HG01505	control	HG01505
NA20509	EUR	HGSVC	M	NA20509	control	NA20509
HG00096	EUR	HGSVC	M	HG00096	control	HG00096
HG00268	EUR	HGSVC	F	HG00268	control	HG00268
HG00358	EUR	HGSVC	M	HG00358	control	HG00358
HG00512	EAS	HGSVC	M	HG00512	control	HG00512
HG00513	EAS	HGSVC	F	HG00513	control	HG00513
HG00514	EAS	HGSVC	F	HG00514	control	HG00514
HG02018	EAS	HGSVC	F	HG02018	control	HG02018
NA18534	EAS	HGSVC	M	NA18534	control	NA18534
NA18939	EAS	HGSVC	F	NA18939	control	NA18939
HG00864	EAS	HGSVC	F	HG00864	control	HG00864
HG01596	EAS	HGSVC	M	HG01596	control	HG01596
HG02059	EAS	HGSVC	F	HG02059	control	HG02059
NA18989	EAS	HGSVC	M	NA18989	control	NA18989
HG03732	SAS	HGSVC	M	HG03732	control	HG03732
HG02492	SAS	HGSVC	M	HG02492	control	HG02492
HG03009	SAS	HGSVC	M	HG03009	control	HG03009
HG03683	SAS	HGSVC	F	HG03683	control	HG03683
NA20847	SAS	HGSVC	F	NA20847	control	NA20847
HG04217	SAS	HGSVC	F	HG04217	control	HG04217
HG03807	SAS	HGSVC	F	HG03807	control	HG03807
HG04036	SAS	HGSVC	F	HG04036	control	HG04036
HG03731	SAS	UW_ONT	F	HG03731	control	HG03731
GM19035	AFR	UW_ONT	M	GM19035	control	GM19035
HG01695	EUR	UW_ONT	F	HG01695	control	HG01695
HG02979	AFR	UW_ONT	F	HG02979	control	HG02979
HG03646	SAS	UW_ONT	M	HG03646	control	HG03646
HG02252	AMR	UW_ONT	F	HG02252	control	HG02252
GM18861	AFR	UW_ONT	F	GM18861	control	GM18861
HG00410	EAS	UW_ONT	F	HG00410	control	HG00410
HG00110	EUR	UW_ONT	F	HG00110	control	HG00110
HG01281	AMR	UW_ONT	F	HG01281	control	HG01281
HG03814	SAS	UW_ONT	F	HG03814	control	HG03814
HG03643	SAS	UW_ONT	F	HG03643	control	HG03643
HG03571	AFR	UW_ONT	M	HG03571	control	HG03571
GM18856	AFR	UW_ONT	M	GM18856	control	GM18856
HG03770	SAS	UW_ONT	F	HG03770	control	HG03770
HG02817	AFR	UW_ONT	F	HG02817	control	HG02817
HG04216	SAS	UW_ONT	F	HG04216	control	HG04216
HG00331	EUR	UW_ONT	F	HG00331	control	HG00331
HG02614	AFR	UW_ONT	F	HG02614	control	HG02614
HG01468	AMR	UW_ONT	F	HG01468	control	HG01468
HG02048	EAS	UW_ONT	F	HG02048	control	HG02048
HG01615	EUR	UW_ONT	M	HG01615	control	HG01615
HG01372	AMR	UW_ONT	F	HG01372	control	HG01372
HG00121	EUR	UW_ONT	F	HG00121	control	HG00121
HG02502	AFR	UW_ONT	F	HG02502	control	HG02502
HG04054	SAS	UW_ONT	F	HG04054	control	HG04054
HG01312	AMR	UW_ONT	F	HG01312	control	HG01312
HG02389	EAS	UW_ONT	M	HG02389	control	HG02389
HG02312	AMR	UW_ONT	F	HG02312	control	HG02312
HG02185	EAS	UW_ONT	F	HG02185	control	HG02185
HG03971	SAS	UW_ONT	M	HG03971	control	HG03971
HG00105	EUR	UW_ONT	M	HG00105	control	HG00105
HG02974	AFR	UW_ONT	F	HG02974	control	HG02974
HG01797	EAS	UW_ONT	F	HG01797	control	HG01797
HG01862	EAS	UW_ONT	F	HG01862	control	HG01862
GM19462	AFR	UW_ONT	F	GM19462	control	GM19462
HG02345	AMR	UW_ONT	F	HG02345	control	HG02345
HG01369	AMR	UW_ONT	F	HG01369	control	HG01369
HG03774	SAS	UW_ONT	F	HG03774	control	HG03774
HG00728	EAS	UW_ONT	M	HG00728	control	HG00728
HG04063	SAS	UW_ONT	F	HG04063	control	HG04063
GM18864	AFR	UW_ONT	F	GM18864	control	GM18864
HG03861	SAS	UW_ONT	F	HG03861	control	HG03861
GM18865	AFR	UW_ONT	M	GM18865	control	GM18865
HG03121	AFR	UW_ONT	F	HG03121	control	HG03121
HG03631	SAS	UW_ONT	F	HG03631	control	HG03631
HG01501	EUR	UW_ONT	F	HG01501	control	HG01501
HG01414	AMR	UW_ONT	F	HG01414	control	HG01414
GM18501	AFR	UW_ONT	M	GM18501	control	GM18501
HG01363	AMR	UW_ONT	F	HG01363	control	HG01363
HG01046	EAS	UW_ONT	F	HG01046	control	HG01046
HG00599	EAS	UW_ONT	F	HG00599	control	HG00599
GM18924	AFR	UW_ONT	F	GM18924	control	GM18924
HG03069	AFR	UW_ONT	M	HG03069	control	HG03069
GM19473	AFR	UW_ONT	F	GM19473	control	GM19473
HG00631	EAS	UW_ONT	M	HG00631	control	HG00631
HG03548	AFR	UW_ONT	F	HG03548	control	HG03548
HG03120	AFR	UW_ONT	M	HG03120	control	HG03120
HG02731	SAS	UW_ONT	F	HG02731	control	HG02731
HG03744	SAS	UW_ONT	M	HG03744	control	HG03744
GM18519	AFR	UW_ONT	M	GM18519	control	GM18519
HG02694	SAS	UW_ONT	F	HG02694	control	HG02694
HG02373	EAS	UW_ONT	M	HG02373	control	HG02373
HG03898	SAS	UW_ONT	F	HG03898	control	HG03898
HG00705	EAS	UW_ONT	F	HG00705	control	HG00705
HG03668	SAS	UW_ONT	F	HG03668	control	HG03668
HG02409	EAS	UW_ONT	M	HG02409	control	HG02409
HG02051	AFR	UW_ONT	M	HG02051	control	HG02051
HG01122	AMR	UW_ONT	F	HG01122	control	HG01122
HG00473	EAS	UW_ONT	F	HG00473	control	HG00473
HG00151	EUR	UW_ONT	M	HG00151	control	HG00151
HG03864	SAS	UW_ONT	M	HG03864	control	HG03864
HG01790	EUR	UW_ONT	F	HG01790	control	HG01790
GM19471	AFR	UW_ONT	F	GM19471	control	GM19471
HG01812	EAS	UW_ONT	F	HG01812	control	HG01812
HG03499	AFR	UW_ONT	F	HG03499	control	HG03499
HG00675	EAS	UW_ONT	F	HG00675	control	HG00675
GM19308	AFR	UW_ONT	M	GM19308	control	GM19308
HG00525	EAS	UW_ONT	F	HG00525	control	HG00525
HG03919	SAS	UW_ONT	F	HG03919	control	HG03919
HG03717	SAS	UW_ONT	F	HG03717	control	HG03717
HG00136	EUR	UW_ONT	M	HG00136	control	HG00136
HG01395	AMR	UW_ONT	M	HG01395	control	HG01395
HG02396	EAS	UW_ONT	M	HG02396	control	HG02396
HG00127	EUR	UW_ONT	F	HG00127	control	HG00127
HG03168	AFR	UW_ONT	F	HG03168	control	HG03168
HG03868	SAS	UW_ONT	F	HG03868	control	HG03868
HG02262	AMR	UW_ONT	M	HG02262	control	HG02262
GM18876	AFR	UW_ONT	F	GM18876	control	GM18876
GM19312	AFR	UW_ONT	M	GM19312	control	GM19312
HG01801	EAS	UW_ONT	F	HG01801	control	HG01801
HG02102	AMR	UW_ONT	F	HG02102	control	HG02102
GM18871	AFR	UW_ONT	M	GM18871	control	GM18871
HG03563	AFR	UW_ONT	F	HG03563	control	HG03563
GM19041	AFR	UW_ONT	M	GM19041	control	GM19041
HG03022	SAS	UW_ONT	F	HG03022	control	HG03022
HG03279	AFR	UW_ONT	F	HG03279	control	HG03279
GM19452	AFR	UW_ONT	M	GM19452	control	GM19452
HG03280	AFR	UW_ONT	M	HG03280	control	HG03280
HG03370	AFR	UW_ONT	M	HG03370	control	HG03370
HG02952	AFR	UW_ONT	F	HG02952	control	HG02952
HG03478	AFR	UW_ONT	M	HG03478	control	HG03478
HG02763	AFR	UW_ONT	F	HG02763	control	HG02763
HG01029	EAS	UW_ONT	F	HG01029	control	HG01029
HG03018	SAS	UW_ONT	M	HG03018	control	HG03018
HG03086	AFR	UW_ONT	F	HG03086	control	HG03086
HG03027	AFR	UW_ONT	M	HG03027	control	HG03027
HG01161	AMR	UW_ONT	M	HG01161	control	HG01161
HG03366	AFR	UW_ONT	F	HG03366	control	HG03366
HG02050	EAS	UW_ONT	M	HG02050	control	HG02050
HG03808	SAS	UW_ONT	F	HG03808	control	HG03808
HG01435	AMR	UW_ONT	F	HG01435	control	HG01435
HG02511	AFR	UW_ONT	F	HG02511	control	HG02511
HG02385	EAS	UW_ONT	M	HG02385	control	HG02385
HG04153	SAS	UW_ONT	F	HG04153	control	HG04153
HG03736	SAS	UW_ONT	F	HG03736	control	HG03736
HG02134	EAS	UW_ONT	M	HG02134	control	HG02134
HG01250	AMR	UW_ONT	M	HG01250	control	HG01250
HG03055	AFR	UW_ONT	F	HG03055	control	HG03055
HG01459	AMR	UW_ONT	F	HG01459	control	HG01459
HG01858	EAS	UW_ONT	F	HG01858	control	HG01858
GM19455	AFR	UW_ONT	M	GM19455	control	GM19455
HG01125	AMR	UW_ONT	F	HG01125	control	HG01125
GM19435	AFR	UW_ONT	F	GM19435	control	GM19435
GM19038	AFR	UW_ONT	F	GM19038	control	GM19038
HG01613	EUR	UW_ONT	F	HG01613	control	HG01613
HG04161	SAS	UW_ONT	M	HG04161	control	HG04161
HG00742	AMR	UW_ONT	M	HG00742	control	HG00742
HG01762	EUR	UW_ONT	F	HG01762	control	HG01762
HG04076	SAS	UW_ONT	F	HG04076	control	HG04076
HG03733	SAS	UW_ONT	F	HG03733	control	HG03733
HG02852	AFR	UW_ONT	F	HG02852	control	HG02852
GM19429	AFR	UW_ONT	M	GM19429	control	GM19429
HG02601	SAS	UW_ONT	F	HG02601	control	HG02601
HG03991	SAS	UW_ONT	M	HG03991	control	HG03991
HG03169	AFR	UW_ONT	M	HG03169	control	HG03169
HG03851	SAS	UW_ONT	M	HG03851	control	HG03851
HG01170	AMR	UW_ONT	M	HG01170	control	HG01170
HG03680	SAS	UW_ONT	M	HG03680	control	HG03680
HG02356	EAS	UW_ONT	M	HG02356	control	HG02356
HG02035	EAS	UW_ONT	M	HG02035	control	HG02035
HG00653	EAS	UW_ONT	M	HG00653	control	HG00653
HG00382	EUR	UW_ONT	M	HG00382	control	HG00382
HG03960	SAS	UW_ONT	M	HG03960	control	HG03960
HG00590	EAS	UW_ONT	F	HG00590	control	HG00590
HG02049	EAS	UW_ONT	F	HG02049	control	HG02049
HG01593	SAS	UW_ONT	F	HG01593	control	HG01593
HG02355	EAS	UW_ONT	M	HG02355	control	HG02355
HG01052	AMR	UW_ONT	F	HG01052	control	HG01052
HG03057	AFR	UW_ONT	M	HG03057	control	HG03057
HG00704	EAS	UW_ONT	M	HG00704	control	HG00704
HG02166	EAS	UW_ONT	F	HG02166	control	HG02166
HG01682	EUR	UW_ONT	M	HG01682	control	HG01682
HG00663	EAS	UW_ONT	F	HG00663	control	HG00663
HG03685	SAS	UW_ONT	M	HG03685	control	HG03685
HG01305	AMR	UW_ONT	M	HG01305	control	HG01305
HG01771	EUR	UW_ONT	M	HG01771	control	HG01771
HG00743	AMR	UW_ONT	F	HG00743	control	HG00743
HG02885	AFR	UW_ONT	F	HG02885	control	HG02885
HG00143	EUR	UW_ONT	M	HG00143	control	HG00143
HG04164	SAS	UW_ONT	M	HG04164	control	HG04164
HG03884	SAS	UW_ONT	F	HG03884	control	HG03884
HG02837	AFR	UW_ONT	F	HG02837	control	HG02837
HG01795	EAS	UW_ONT	F	HG01795	control	HG01795
HG04209	SAS	UW_ONT	F	HG04209	control	HG04209
HG01860	EAS	UW_ONT	M	HG01860	control	HG01860
HG02884	AFR	UW_ONT	M	HG02884	control	HG02884
HG02501	AFR	UW_ONT	M	HG02501	control	HG02501
HG03934	SAS	UW_ONT	F	HG03934	control	HG03934
HG02360	EAS	UW_ONT	M	HG02360	control	HG02360
HG02968	AFR	UW_ONT	M	HG02968	control	HG02968
HG02186	EAS	UW_ONT	F	HG02186	control	HG02186
HG02374	EAS	UW_ONT	M	HG02374	control	HG02374
HG03772	SAS	UW_ONT	F	HG03772	control	HG03772
GM18915	AFR	UW_ONT	M	GM18915	control	GM18915
HG00625	EAS	UW_ONT	M	HG00625	control	HG00625
GM19457	AFR	UW_ONT	F	GM19457	control	GM19457
HG00262	EUR	UW_ONT	F	HG00262	control	HG00262
HG00233	EUR	UW_ONT	F	HG00233	control	HG00233
HG01973	AMR	UW_ONT	F	HG01973	control	HG01973
GM19437	AFR	UW_ONT	F	GM19437	control	GM19437
HG00463	EAS	UW_ONT	M	HG00463	control	HG00463
HG01848	EAS	UW_ONT	F	HG01848	control	HG01848
HG03998	SAS	UW_ONT	M	HG03998	control	HG03998
GM19404	AFR	UW_ONT	F	GM19404	control	GM19404
HG04047	SAS	UW_ONT	F	HG04047	control	HG04047
HG03849	SAS	UW_ONT	F	HG03849	control	HG03849
HG01855	EAS	UW_ONT	F	HG01855	control	HG01855
GM19466	AFR	UW_ONT	M	GM19466	control	GM19466
